arabic,english
كنس الخادم الارض,the servant swept the floor
هذا يفي بالغرض,this serves the purpose
يجب ابقاء هذا الدرس في الحسبان,this lesson should be kept in mind
من الممكن ان لا تاتي,possibly she will not come
لا تتدخل في ما لا يعنيك,mind your own business
انا اعرف ما الذي تبحث عنه,i know what it is youre looking for
هل يمكنني ان اخرج للعب,can i go out to play
ربما ستمطر الليله,it may rain tonight
اسمعني جيدا,listen to me carefully
اعرف انك كنت في بوسطن,i know youve been in boston
دعه يذهب,let him go
رسم خطا مستقيما علي الحائط,he drew a straight line on the wall
كان عليهم البقاء في المنزل طوال اليوم,they had to stay at home all day
سافر توم وماري معا,tom and mary traveled together
سيطلي الباب غدا,the door will be painted tomorrow
لا تنسي ميعادنا غدا,dont forget our date tomorrow
ايمكنني الذهاب الي البيت الان,can i go home now
كل كلمه في هذا القاموس مهمه,every word in this dictionary is important
لكل عالم هفوه,even homer sometimes nods
اريد حاسوبا جديدا,i want a new computer
ليس هناك مكان للاختباء,theres nowhere to hide
لم يكن هناك اي اثاث في الغرفه علي الاطلاق,there was absolutely no furniture in that room
انت لوحدك الان,youre on your own now
لم يعد توم يغني الان,tom doesnt sing anymore
علينا ان نهتم بالمحافظه علي تراثنا الوطني,we must all take care to preserve our national heritage
لكم اريد الحصول علي كاميرا مثل تلك,i would like to get a camera like this
خطير جدا بالنسبه لك ان تكون هنا,its too dangerous for you to stay here
حضر اللقاء عدد من اصحاب الاختصاص,a number of experts attended the meeting
افضل اللحم علي السمك,id prefer meat to fish
انت تستخف به,you are selling him short
اشم رائحه شيء عفن,i smell something rotten
الم ننس شيئا,arent we forgetting something
ان ولدت في عام 1972,i was born in 1972
الانجليزيه تدرس في اغلب الدول,english is taught in most countries
لا اثق بامثاله,i cant trust people like him
هل يمكنك تعليمي الانجليزيه,can you teach me english
من يدري,who knows
القي نظره علي هذا التقرير,take a look at this report
كم ثمن السياره اللتي تنوي ان تشتريها,how much is the car that youre planning to buy
انت تقوم بعمل جيد,you are doing very well
هم اعطوها لي,they gave it to me
نحن عرب,we are arabs
ما اطول عودك,how tall you are
انه من محبي القطط,hes a cat lover
طلبت منه ان يبعث الينا بالكتاب,i asked him to send us the book
هل هذه صوره انت رسمتها بنفسك,is this a picture that you yourself drew
الرقم اثنا عشر عدد زوجي,twelve is an even number
ما الامر,what gives
قد بحذر,drive safely
هذا الدواء سيخفف من صداعك,this medicine will relieve your headache
بقي واحد وذهب الاخر,one stayed and the other went away
تعال معي,come along with me
انه اقتباس من كتاب,its a quote from a book
انا اتتطلع لاجازه الصيف,im looking forward to summer vacation
لن اعود,im not going back
انت طباخ جيد,you are a good cook
ذهب الي الدكان,he went to the shop
ذهبت مع اختي الي القلعه,my sister and i went to the castle
يجب علي حفظ الكثير من كلمات السر,i have to memorize a lot of passwords
هناك الكثير من الكتب في غرفتي,there are many books in my room
لا تضع وقتك سدی,dont waste your time
يبدا الدوام الدراسي في الثامنه و النصف,school begins at 830 am
حقيقه لا اعلم,i dont really know
اسكن في اوساكا,i stay in osaka
في نظر المزارع الفواكه اهم من الازهار,for the peasant fruits are more important than flowers
الصديق وقت الضيق,a friend in need is a friend indeed
تعال بالداخل,come inside
سمع صراخا,he heard a shout
هجر المنزل,the house was deserted
لقد ارتكبت نفس الخطا,you made the same mistake
تسلينا بلعب كره القاعده,we enjoyed playing baseball
الامر يعود اليك,its up to you
يرافقني كلبي الي اي مكان,my dog goes everywhere with me
افكر فيك,im thinking about you
اتحدث السلوفينيه قليلا,i speak a little slovenian
لا تدري ماذا تفعل اليس كذلك,you dont know what you are doing do you
المكيف لا يعمل,the air conditioner doesnt work
كم كتابا لديه,how many books does he have
انه اطول منك بقليل,hes a little taller than you are
لقد قضيت كل نهاري في المكتبه,i spent all afternoon in the library
عدنا الي بوستن في العشرين من اكتوبر,we returned to boston on october 20th
لنشاهد التلفزيون,lets watch tv
من شان هذا الدواء ان يخفف من شان حده صداع راسك,this medicine will relieve your headache
ركض,he ran
انا مسكين,im needy
هذه السياره ليست ملكي,this is not my car
انا هنا,i am here
انا اقرا الان,im reading now
حقا اريد رؤيتك اليوم,i really wish to see you today
نحن بصدد كارثه عنيفه,we are facing a violent crisis
توم يعرف الكثير عن التاريخ الاميركي,tom knows a lot about american history
تسلقت جبل فوجي مرتين,ive climbed mt fuji twice
انه اقتباس من الكتاب,its a quote from the book
لنلعب الكره,lets play soccer
هل بامكانك قياده سياره,can you drive a car
شكرا لقدومك لزيارتنا,thanks for coming over tonight
عن ماذا تحدثت,what did you talk about
